0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:00 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:23 +0900] "GET /JSP_project/view/html/Header_login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:30 +0900] "GET /JSP_project/view/html/Section.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:30 +0900] "GET /JSP_project/view/img/right-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:30 +0900] "GET /JSP_project/view/img/left-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:30 +0900] "GET /JSP_project/view/img/game01_title.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:36 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5116
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:36 +0900] "GET /JSP_project/img/title.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:36 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:36 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:36 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:36 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:37 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5116
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:37 +0900] "GET /JSP_project/img/title.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:37 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:37 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:57:37 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:03 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5116
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:03 +0900] "GET /JSP_project/img/title.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:03 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:03 +0900] "GET /JSP_project/img/game01_title.png HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:03 +0900] "GET /JSP_project/img/right-arrow.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:03 +0900] "GET /JSP_project/img/left-arrow.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:33 +0900] "GET /JSP_project/view/mainView.jsp HTTP/1.1" 200 5116
0:0:0:0:0:0:0:1 - - [07/Dec/2022:09:58:33 +0900] "GET /JSP_project/img/title.png HTTP/1.1" 404 840
